attraction_cherepashye_ozero_yalta	Черепашье озеро	Ялта	Бахчисарайское шоссе, дорога Ялта - Ай-Петри	44.47515	34.08556
attraction_goluboe_ozero_bolshoy_kanon	Голубое озеро	Большой каньон Крыма	Большой каньон Крыма, район села Соколиное	44.527965	34.021912
attraction_vanna_molodosti_bolshoy_kanon	Ванна Молодости	Большой каньон Крыма	Большой каньон Крыма, район села Соколиное	44.525559	34.007805
attraction_mangupskoe_ozero	Мангупское озеро	Ходжа-Сала	село Ходжа-Сала, у подножия Мангуп-Кале	44.608543	33.787639
attraction_aktashskoe_ozero	Акташское озеро	Щёлкино	север Керченского полуострова, район Щёлкино и Мысового	45.372511	35.802703
attraction_chokrakskoe_ozero	Чокракское озеро	Курортное	район села Курортное, север Керченского полуострова	45.456222	36.295861
attraction_ozero_liman_saki	Озеро Лиман	Саки	район города Саки и посёлка Прибрежное	45.11939	33.556262
attraction_bolshoy_kanon_kryma	Большой каньон Крыма	Соколиное	район села Соколиное, северные склоны Ай-Петринской яйлы	44.527778	34.016667
attraction_skala_zolotye_vorota_karadag	Скала Золотые Ворота	Кара-Даг	акватория Кара-Дага, между Коктебелем и Курортным	44.914635	35.231485
attraction_skaly_adalary_gurzuf	Скалы Адалары	Гурзуф	акватория Гурзуфской бухты	44.543867	34.293888
attraction_skala_diva_simeiz	Скала Дива	Симеиз	посёлок Симеиз, у центрального пляжа	44.400785	34.001045
attraction_skala_monah_simeiz	Скала Монах	Симеиз	Симеиз, каменный хаос между скалами Дива и Панеа	44.40069	34.00072
attraction_skala_parus_gaspra	Скала Парус	Гаспра	Гаспра, район мыса Ай-Тодор и санатория «Парус»	44.433452	34.130806
attraction_hram_solntsa_ilyas_kaya	Храм Солнца	Ласпи	скальный комплекс Тышлар у горы Ильяс-Кая, район Ласпи	44.4239	33.7412
attraction_dolina_privideniy_demerdzhi	Долина Привидений	Лучистое	склоны Южной Демерджи, район села Лучистое	44.7306	34.4111
attraction_sfinksy_karalezskoy_doliny	Сфинксы Каралезской долины	Залесное	село Залесное, Каралезская долина	44.628427	33.792013
attraction_ushchele_gyaur_bah_karadag	Ущелье Гяур-Бах	Курортное	район Карадагской биостанции, пгт Курортное	44.9102	35.2058
attraction_bulganakskie_gryazevye_vulkany	Булганакские грязевые вулканы	Бондаренково	долина Булганак, район Бондаренково и Керчи	45.425	36.4736
attraction_skala_krylo_lebedya_simeiz	Скала Крыло Лебедя	Симеиз	юго-западные окрестности Симеиза, между Симеизом и Голубым Заливом	44.400462	33.994272
attraction_nikitskiy_botanicheskiy_sad	Никитский ботанический сад	Никита	посёлок Никита, Никитский спуск, 52	44.5092	34.2396
attraction_vorontsovskiy_park	Воронцовский парк	Алупка	Алупка, территория Воронцовского дворцово-паркового музея	44.422177	34.058462
attraction_forosskiy_park	Форосский парк	Форос	посёлок Форос, территория Форосского парка	44.3897	33.7819
attraction_park_montedor_nikita	Парк Монтедор	Никита	посёлок Никита, территория Никитского ботанического сада	44.51092	34.232649
attraction_massandrovskiy_park	Массандровский парк	Массандра	Массандра, территория Массандровского дворца и парка	44.5163	34.2014
attraction_harakskiy_park_gaspra	Харакский парк	Гаспра	Гаспра, территория дворца Харакс	44.4307	34.1167
attraction_miskhorskiy_park	Мисхорский парк	Мисхор	Мисхор, между Алупкинским шоссе и побережьем	44.4297	34.0919
attraction_simferopolskiy_botanicheskiy_sad	Симферопольский ботанический сад	Симферополь	проспект Академика Вернадского, 2, Симферополь	44.942524	34.131095
attraction_primorskiy_park_yalta	Приморский парк	Ялта	Ялта, западная часть набережной	44.4893	34.1589
attraction_park_molodezhnyy_evpatoriya	Парк «Молодёжный»	Евпатория	Евпатория, район городских жилых кварталов и озера Мойнаки	45.1984	33.3549
attraction_mozhzhevelovaya_roshcha_novyy_svet	Можжевеловая роща	Новый Свет	посёлок Новый Свет, природный заказник	44.8206	34.909
attraction_olivkovaya_roshcha_partenit	Оливковая роща	Партенит	Партенит, район парка Айвазовское	44.5828	34.3442
attraction_bukovyy_les_haphal	Буковый лес Хапхала	Хапхал	урочище Хапхал, район водопада Джур-Джур	44.807	34.458
attraction_lavandovye_polya_bakhchisaray	Лавандовые поля	Тургеневка	район села Тургеневка, Бахчисарайский район	44.703068	33.852679
attraction_kiparisovaya_alleya_alupka	Кипарисовая аллея	Алупка	Алупка, территория Воронцовского парка	44.4204	34.0582
attraction_staryy_dub_ak_kaya	Старый дуб у Ак-Кая	Ак-Кая	район Белой скалы Ак-Кая, Белогорский район	45.1048	34.626
attraction_krymskiy_prirodnyy_zapovednik	Крымский природный заповедник	Крымский заповедник	горно-лесная часть Главной гряды Крыма	44.666667	34.35
attraction_yaltinskiy_gorno_lesnoy_zapovednik	Ялтинский горно-лесной заповедник	Ялта	горно-лесная зона над Ялтой, от Фороса до Гурзуфа	44.475	34.09
attraction_karadagskiy_prirodnyy_zapovednik	Карадагский природный заповедник	Курортное	между Коктебелем и Курортным, Карадагская биостанция	44.9137	35.2036
attraction_kazantipskiy_prirodnyy_zapovednik	Казантипский природный заповедник	Мысовое	мыс Казантип, район Мысового и Щёлкино	45.45745	35.83978
attraction_hersones_tavricheskiy	Херсонес Таврический	Севастополь	Древняя улица, 1, Севастополь	44.613611	33.492778
attraction_novyy_hersones	Новый Херсонес	Севастополь	район Херсонеса Таврического, Севастополь	44.6075	33.490556
attraction_panorama_oborony_sevastopolya	Панорама обороны Севастополя	Севастополь	Исторический бульвар, Севастополь	44.5956	33.5238
attraction_mihaylovskaya_batareya	Михайловская батарея	Севастополь	ул. Громова, 35/1, Северная сторона, Севастополь	44.627778	33.525833
attraction_galereya_ayvazovskogo	Галерея Айвазовского	Феодосия	ул. Галерейная, 2, Феодосия	45.0311	35.3828
attraction_muzey_chehova_yalta	Музей А. П. Чехова	Ялта	ул. Кирова, 112, Ялта	44.5006	34.144
attraction_kerchenskiy_istoriko_arheologicheskiy_muzey	Историко-археологический музей	Керчь	ул. Свердлова, 22, Керчь	45.3517	36.4756
attraction_feodosiyskiy_muzey_deneg	Феодосийский музей денег	Феодосия	Феодосия, исторический центр	45.0299	35.3799
attraction_centralnyy_muzey_tavridy	Центральный музей Тавриды	Симферополь	ул. Гоголя, 14, Симферополь	44.9507	34.1025
attraction_adzhimushkayskie_kamenolomni_muzey	Аджимушкайские каменоломни	Аджимушкай	посёлок Аджимушкай, район Керчи	45.3823	36.5207
attraction_morskoy_muzey_balaklava	Морской музей	Балаклава	Таврическая набережная, 22, Балаклава	44.5011	33.5966
attraction_solnechnaya_tsarskaya_tropa	Солнечная тропа	Ливадия	маршрут от Ливадийского дворца в сторону Ореанды и Гаспры	44.450975	34.1268
attraction_golicynskaya_tropa	Голицынская тропа	Новый Свет	посёлок Новый Свет, начало у набережной	44.8219	34.9142
attraction_botkinskaya_tropa	Боткинская тропа	Ялта	горно-лесная зона над Ялтой, маршрут к Ставри-Кая	44.49632	34.118948
attraction_new_kostel_uspeniya_bogoroditsy_kerch	Костёл Успения Богородицы (Керчь)	Керчь	официальный католический ресурс указывает Керчь, ул. Театральная, 32; в картах возможны расхождения		
attraction_new_koyashskoe_ozero	Кояшское озеро	Керчь			
attraction_new_krasnaya_gorka_evpatoriya	Красная горка (Евпатория)	Евпатория			
attraction_new_krasnye_plyazhi_kalamitskogo_zaliva	Красные пляжи Каламитского залива	Евпатория			
attraction_new_krepost_eni_kale	Крепость Ени-Кале	Керчь	Керчь, Крым	45.358717	36.470409
attraction_new_krepost_kalamita	Крепость Каламита	Севастополь			
attraction_new_krestovaya_skala	Крестовая скала	Ялта			
attraction_new_krestovozdvizhenskaya_tserkov_livadiya	Крестовоздвиженская церковь при Ливадийском дворце	Ялта			
attraction_new_krokodilyarium_yalta	Крокодиляриум (Ялта)	Ялта	Ялта, Крым	44.491261	34.166995
attraction_new_krymskaya_dolina_himer	Крымская долина химер	Бахчисарай			
